Tn,Th,Tc,Tr,Dn,D,M,C,N,H,mu1,mu2,Ig,Gb
0.931125503,1.249224456,2.462634914,0.687166629,1.632812031,0.000313508,0.673683748,0.000314663,0,1.471228407,0.497086876,0.512430419,3.889159827,0.254897979
1.230170138,1.315466644,1.521023118,0.510660703,2.046088762,2.782201223,1.291952773,0.000296723,0,0.603594449,0.757817249,0.178950861,0.938493237,0.556562771
1.199650978,0.855486781,0.000169478,0.657182779,1,0.001012994,1.414960154,0.000319911,0,1.256591991,0.133546328,0.841905985,0,0.6850909
1.447139625,0.157085101,0.582294533,0.891031344,5.682652274,4.294529408,0.9258593,0.000297056,0,1.463045024,0.413657576,5.772000756,0,2.562888281
0.679379536,2.611890213,1.629355867,1.881857788,0.002353843,0.454211238,0.774917871,0.000357409,0,1.183453868,0.458707501,2.297909018,0.408355561,0.345662496
